"Vuosineljännes";"Alue";"Huoneluku";"Mediaani"
"2020Q1";"Helsinki";"Yksiöt";26.07
"2020Q1";"Espoo-Kauniainen";"Yksiöt";22.73
"2020Q1";"Vantaa";"Yksiöt";22.19
"2020Q1";"Turku";"Yksiöt";17.27
"2020Q1";"Pori";"Yksiöt";13.76
"2020Q1";"Hämeenlinna";"Yksiöt";16.89
"2020Q1";"Tampere";"Yksiöt";18.27
"2020Q1";"Lahti";"Yksiöt";15.79
"2020Q1";"Kuopio";"Yksiöt";17.68
"2020Q1";"Jyväskylä";"Yksiöt";17.58
"2020Q1";"Oulu";"Yksiöt";16.06
"2020Q2";"Helsinki";"Yksiöt";26.30
"2020Q2";"Espoo-Kauniainen";"Yksiöt";22.84
"2020Q2";"Vantaa";"Yksiöt";22.31
"2020Q2";"Turku";"Yksiöt";17.27
"2020Q2";"Pori";"Yksiöt";13.69
"2020Q2";"Hämeenlinna";"Yksiöt";16.81
"2020Q2";"Tampere";"Yksiöt";18.30
"2020Q2";"Lahti";"Yksiöt";15.97
"2020Q2";"Kuopio";"Yksiöt";17.80
"2020Q2";"Jyväskylä";"Yksiöt";17.58
"2020Q2";"Oulu";"Yksiöt";16.06
"2020Q3";"Helsinki";"Yksiöt";26.39
"2020Q3";"Espoo-Kauniainen";"Yksiöt";22.90
"2020Q3";"Vantaa";"Yksiöt";22.41
"2020Q3";"Turku";"Yksiöt";17.35
"2020Q3";"Pori";"Yksiöt";13.65
"2020Q3";"Hämeenlinna";"Yksiöt";16.79
"2020Q3";"Tampere";"Yksiöt";18.38
"2020Q3";"Lahti";"Yksiöt";15.94
"2020Q3";"Kuopio";"Yksiöt";17.86
"2020Q3";"Jyväskylä";"Yksiöt";17.53
"2020Q3";"Oulu";"Yksiöt";16.08
"2020Q4";"Helsinki";"Yksiöt";26.54
"2020Q4";"Espoo-Kauniainen";"Yksiöt";23.00
"2020Q4";"Vantaa";"Yksiöt";22.44
"2020Q4";"Turku";"Yksiöt";17.45
"2020Q4";"Pori";"Yksiöt";13.74
"2020Q4";"Hämeenlinna";"Yksiöt";16.81
"2020Q4";"Tampere";"Yksiöt";18.50
"2020Q4";"Lahti";"Yksiöt";16.00
"2020Q4";"Kuopio";"Yksiöt";17.97
"2020Q4";"Jyväskylä";"Yksiöt";17.67
"2020Q4";"Oulu";"Yksiöt";16.14
"2021Q1";"Helsinki";"Yksiöt";26.67
"2021Q1";"Espoo-Kauniainen";"Yksiöt";23.33
"2021Q1";"Vantaa";"Yksiöt";22.62
"2021Q1";"Turku";"Yksiöt";17.60
"2021Q1";"Pori";"Yksiöt";13.75
"2021Q1";"Hämeenlinna";"Yksiöt";16.79
"2021Q1";"Tampere";"Yksiöt";18.76
"2021Q1";"Lahti";"Yksiöt";15.97
"2021Q1";"Kuopio";"Yksiöt";18.00
"2021Q1";"Jyväskylä";"Yksiöt";17.79
"2021Q1";"Oulu";"Yksiöt";16.32
"2021Q2";"Helsinki";"Yksiöt";26.75
"2021Q2";"Espoo-Kauniainen";"Yksiöt";23.39
"2021Q2";"Vantaa";"Yksiöt";22.66
"2021Q2";"Turku";"Yksiöt";17.66
"2021Q2";"Pori";"Yksiöt";13.79
"2021Q2";"Hämeenlinna";"Yksiöt";16.85
"2021Q2";"Tampere";"Yksiöt";18.86
"2021Q2";"Lahti";"Yksiöt";15.97
"2021Q2";"Kuopio";"Yksiöt";18.03
"2021Q2";"Jyväskylä";"Yksiöt";17.77
"2021Q2";"Oulu";"Yksiöt";16.31
"2021Q3";"Helsinki";"Yksiöt";26.76
"2021Q3";"Espoo-Kauniainen";"Yksiöt";23.51
"2021Q3";"Vantaa";"Yksiöt";22.84
"2021Q3";"Turku";"Yksiöt";17.72
"2021Q3";"Pori";"Yksiöt";13.69
"2021Q3";"Hämeenlinna";"Yksiöt";17.03
"2021Q3";"Tampere";"Yksiöt";18.88
"2021Q3";"Lahti";"Yksiöt";15.97
"2021Q3";"Kuopio";"Yksiöt";18.10
"2021Q3";"Jyväskylä";"Yksiöt";17.71
"2021Q3";"Oulu";"Yksiöt";16.37
"2021Q4";"Helsinki";"Yksiöt";26.87
"2021Q4";"Espoo-Kauniainen";"Yksiöt";23.58
"2021Q4";"Vantaa";"Yksiöt";22.85
"2021Q4";"Turku";"Yksiöt";17.85
"2021Q4";"Pori";"Yksiöt";13.79
"2021Q4";"Hämeenlinna";"Yksiöt";16.95
"2021Q4";"Tampere";"Yksiöt";18.97
"2021Q4";"Lahti";"Yksiöt";16.00
"2021Q4";"Kuopio";"Yksiöt";18.21
"2021Q4";"Jyväskylä";"Yksiöt";17.78
"2021Q4";"Oulu";"Yksiöt";16.52
"2022Q1";"Helsinki";"Yksiöt";26.80
"2022Q1";"Espoo-Kauniainen";"Yksiöt";23.67
"2022Q1";"Vantaa";"Yksiöt";23.10
"2022Q1";"Turku";"Yksiöt";18.00
"2022Q1";"Pori";"Yksiöt";14.10
"2022Q1";"Hämeenlinna";"Yksiöt";17.08
"2022Q1";"Tampere";"Yksiöt";19.06
"2022Q1";"Lahti";"Yksiöt";16.10
"2022Q1";"Kuopio";"Yksiöt";18.45
"2022Q1";"Jyväskylä";"Yksiöt";17.97
"2022Q1";"Oulu";"Yksiöt";16.74
"2022Q2";"Helsinki";"Yksiöt";26.88
"2022Q2";"Espoo-Kauniainen";"Yksiöt";23.93
"2022Q2";"Vantaa";"Yksiöt";23.13
"2022Q2";"Turku";"Yksiöt";18.00
"2022Q2";"Pori";"Yksiöt";14.04
"2022Q2";"Hämeenlinna";"Yksiöt";17.13
"2022Q2";"Tampere";"Yksiöt";19.04
"2022Q2";"Lahti";"Yksiöt";16.07
"2022Q2";"Kuopio";"Yksiöt";18.38
"2022Q2";"Jyväskylä";"Yksiöt";17.95
"2022Q2";"Oulu";"Yksiöt";16.64
"2022Q3";"Helsinki";"Yksiöt";26.94
"2022Q3";"Espoo-Kauniainen";"Yksiöt";23.94
"2022Q3";"Vantaa";"Yksiöt";23.13
"2022Q3";"Turku";"Yksiöt";18.11
"2022Q3";"Pori";"Yksiöt";13.94
"2022Q3";"Hämeenlinna";"Yksiöt";17.16
"2022Q3";"Tampere";"Yksiöt";19.14
"2022Q3";"Lahti";"Yksiöt";16.08
"2022Q3";"Kuopio";"Yksiöt";18.38
"2022Q3";"Jyväskylä";"Yksiöt";17.85
"2022Q3";"Oulu";"Yksiöt";16.67
"2022Q4";"Helsinki";"Yksiöt";26.92
"2022Q4";"Espoo-Kauniainen";"Yksiöt";23.93
"2022Q4";"Vantaa";"Yksiöt";23.09
"2022Q4";"Turku";"Yksiöt";18.26
"2022Q4";"Pori";"Yksiöt";14.09
"2022Q4";"Hämeenlinna";"Yksiöt";17.27
"2022Q4";"Tampere";"Yksiöt";19.25
"2022Q4";"Lahti";"Yksiöt";16.21
"2022Q4";"Kuopio";"Yksiöt";18.55
"2022Q4";"Jyväskylä";"Yksiöt";18.00
"2022Q4";"Oulu";"Yksiöt";16.76
"2023Q1";"Helsinki";"Yksiöt";26.97
"2023Q1";"Espoo-Kauniainen";"Yksiöt";24.03
"2023Q1";"Vantaa";"Yksiöt";23.29
"2023Q1";"Turku";"Yksiöt";18.39
"2023Q1";"Pori";"Yksiöt";14.10
"2023Q1";"Hämeenlinna";"Yksiöt";17.30
"2023Q1";"Tampere";"Yksiöt";19.29
"2023Q1";"Lahti";"Yksiöt";16.26
"2023Q1";"Kuopio";"Yksiöt";18.57
"2023Q1";"Jyväskylä";"Yksiöt";18.09
"2023Q1";"Oulu";"Yksiöt";16.84
"2023Q2";"Helsinki";"Yksiöt";27.00
"2023Q2";"Espoo-Kauniainen";"Yksiöt";24.00
"2023Q2";"Vantaa";"Yksiöt";23.31
"2023Q2";"Turku";"Yksiöt";18.41
"2023Q2";"Pori";"Yksiöt";14.17
"2023Q2";"Hämeenlinna";"Yksiöt";17.37
"2023Q2";"Tampere";"Yksiöt";19.43
"2023Q2";"Lahti";"Yksiöt";16.29
"2023Q2";"Kuopio";"Yksiöt";18.64
"2023Q2";"Jyväskylä";"Yksiöt";18.13
"2023Q2";"Oulu";"Yksiöt";16.94
"2023Q3";"Helsinki";"Yksiöt";27.00
"2023Q3";"Espoo-Kauniainen";"Yksiöt";24.00
"2023Q3";"Vantaa";"Yksiöt";23.33
"2023Q3";"Turku";"Yksiöt";18.54
"2023Q3";"Pori";"Yksiöt";14.20
"2023Q3";"Hämeenlinna";"Yksiöt";17.59
"2023Q3";"Tampere";"Yksiöt";19.58
"2023Q3";"Lahti";"Yksiöt";16.36
"2023Q3";"Kuopio";"Yksiöt";18.61
"2023Q3";"Jyväskylä";"Yksiöt";18.15
"2023Q3";"Oulu";"Yksiöt";17.19
"2023Q4";"Helsinki";"Yksiöt";27.08
"2023Q4";"Espoo-Kauniainen";"Yksiöt";24.00
"2023Q4";"Vantaa";"Yksiöt";23.38
"2023Q4";"Turku";"Yksiöt";18.67
"2023Q4";"Pori";"Yksiöt";14.33
"2023Q4";"Hämeenlinna";"Yksiöt";17.69
"2023Q4";"Tampere";"Yksiöt";19.67
"2023Q4";"Lahti";"Yksiöt";16.39
"2023Q4";"Kuopio";"Yksiöt";18.71
"2023Q4";"Jyväskylä";"Yksiöt";18.39
"2023Q4";"Oulu";"Yksiöt";17.41
"2024Q1";"Helsinki";"Yksiöt";27.11
"2024Q1";"Espoo-Kauniainen";"Yksiöt";24.07
"2024Q1";"Vantaa";"Yksiöt";23.42
"2024Q1";"Turku";"Yksiöt";18.75
"2024Q1";"Pori";"Yksiöt";14.39
"2024Q1";"Hämeenlinna";"Yksiöt";17.76
"2024Q1";"Tampere";"Yksiöt";19.84
"2024Q1";"Lahti";"Yksiöt";16.36
"2024Q1";"Kuopio";"Yksiöt";18.79
"2024Q1";"Jyväskylä";"Yksiöt";18.39
"2024Q1";"Oulu";"Yksiöt";17.42
"2024Q2";"Helsinki";"Yksiöt";27.13
"2024Q2";"Espoo-Kauniainen";"Yksiöt";24.23
"2024Q2";"Vantaa";"Yksiöt";23.47
"2024Q2";"Turku";"Yksiöt";18.75
"2024Q2";"Pori";"Yksiöt";14.39
"2024Q2";"Hämeenlinna";"Yksiöt";17.93
"2024Q2";"Tampere";"Yksiöt";20.00
"2024Q2";"Lahti";"Yksiöt";16.40
"2024Q2";"Kuopio";"Yksiöt";18.87
"2024Q2";"Jyväskylä";"Yksiöt";18.39
"2024Q2";"Oulu";"Yksiöt";17.56
"2024Q3";"Helsinki";"Yksiöt";27.12
"2024Q3";"Espoo-Kauniainen";"Yksiöt";24.21
"2024Q3";"Vantaa";"Yksiöt";23.45
"2024Q3";"Turku";"Yksiöt";18.91
"2024Q3";"Pori";"Yksiöt";14.41
"2024Q3";"Hämeenlinna";"Yksiöt";18.06
"2024Q3";"Tampere";"Yksiöt";20.17
"2024Q3";"Lahti";"Yksiöt";16.40
"2024Q3";"Kuopio";"Yksiöt";18.97
"2024Q3";"Jyväskylä";"Yksiöt";18.52
"2024Q3";"Oulu";"Yksiöt";17.65
